class,jo,prod
114,242308ATR,tramadol hydrochloride
114,249901ATB,zaltoprofen
114,251800ATB,caffeine anhydrous
114,251800ATB,ergotamine tartrate
114,347701ACH,celecoxib
114,347701ATB,celecoxib
114,347702ACH,celecoxib
114,347702ATB,celecoxib
114,347703ACH,celecoxib
114,348201ATB,bucillamine
114,415501ATB,naratriptan hydrochloride (as naratriptan
114,415501ATD,naratriptan hydrochloride (as naratriptan
114,415601ATB,zolmitriptan
114,416601ATB,"위령선, 괄루근, 하고초"
114,458402ATB,morniflumate
114,480600ATB,acetaminophen
114,480600ATB,tramadol hydrochloride
114,513000ATB,acetaminophen
114,513000ATB,tramadol hydrochloride
114,513000ATR,acetaminophen
114,513000ATR,tramadol hydrochloride
114,514100ATR,acetaminophen
114,514100ATR,tramadol hydrochloride
114,493401ATB,pelubiprofen
114,493402ATR,pelubiprofen
114,499401ATB,almotriptan maleate (as almotriptan
114,509501ATB,frovatriptan succinate monohydrate (as frovatriptan
114,516701ATB,자오가·우슬·방풍·두충·구척·흑두 dried ext.(
114,518000ATB,esomeprazole magnesium (as esomeprazole
114,518000ATB,naproxen
114,523500ATB,esomeprazole strontium tetrahydrate (as esomeprazole
114,523500ATB,naproxen
114,527400ATB,esomeprazole
114,527400ATB,naproxen
114,618201ATB,당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화
114,636401ACH,polmacoxib
114,636401ATB,polmacoxib
114,636901ATB,etoricoxib
114,697701ATB,pelubiprofen tromethamine (as pelubiprofen
114,713200ATR,aceclofenac
114,713200ATR,eperisone hydrochloride
114,724600ATB,celecoxib
114,724600ATB,당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화
115,193201ACR,methylphenidate hydrochloride
115,193201ATB,methylphenidate hydrochloride
115,193202ACR,methylphenidate hydrochloride
115,193202ATB,methylphenidate hydrochloride
115,193203ATR,methylphenidate hydrochloride
115,193204ATR,methylphenidate hydrochloride
115,193205ACR,methylphenidate hydrochloride
115,193206ATR,methylphenidate hydrochloride
115,193207ACR,methylphenidate hydrochloride
115,193208ACR,methylphenidate hydrochloride
115,193209ATR,methylphenidate hydrochloride
116,116301ATB,betahistine mesylate
116,550602ATB,betahistine hydrochloride
116,550603ATB,betahistine hydrochloride
117,105501ATB,alprazolam
117,105502ATB,alprazolam
117,105504ATB,alprazolam
117,105505ATB,alprazolam
117,105507ATB,alprazolam
117,107501ATB,amitriptyline hydrochloride
117,107502ATB,amitriptyline hydrochloride
117,107504ATB,amitriptyline hydrochloride
117,118501ATB,bromazepam
117,120501ATB,buspirone hydrochloride
117,120502ATB,buspirone hydrochloride
117,120503ATB,buspirone hydrochloride
117,131201ATB,chlordiazepoxide hydrochloride
117,131202ATB,chlordiazepoxide hydrochloride
117,131901ATB,chlorpromazine hydrochloride
117,131905ATB,chlorpromazine hydrochloride
117,131908ATB,chlorpromazine hydrochloride
117,135702ATB,clobazam
117,136301ACH,clomipramine hydrochloride
117,136302ACH,clomipramine hydrochloride
117,137501ATB,clozapine
117,137502ATB,clozapine
117,137503ATB,clozapine
117,137504ATB,clozapine
117,142901ATB,diazepam
117,142902ATB,diazepam
117,142903ATB,diazepam
117,156201ATB,ethyl loflazepate
117,156202ATB,ethyl loflazepate
117,156501ATB,etizolam
117,156502ATB,etizolam
117,156503ATB,etizolam
117,161501ACH,fluoxetine hydrochloride (as fluoxetine
117,161501ATB,fluoxetine hydrochloride (as fluoxetine
117,161502ACH,fluoxetine hydrochloride (as fluoxetine
117,161502ATB,fluoxetine hydrochloride (as fluoxetine
117,161502ATD,fluoxetine hydrochloride (as fluoxetine
117,167903ATB,haloperidol
117,167904ATB,haloperidol
117,167905ATB,haloperidol
117,167906ATB,haloperidol
117,167908ATB,haloperidol
117,172130ASY,hydroxyzine hydrochloride
117,172101ATB,hydroxyzine hydrochloride
117,173701ATB,imipramine hydrochloride
117,183301ATB,levomepromazine maleate (as levomepromazine
117,183302ATB,levomepromazine maleate (as levomepromazine
117,183303ATB,levomepromazine maleate (as levomepromazine
117,184701ATB,lithium carbonate
117,184702ATB,lithium carbonate
117,185501ATB,lorazepam
117,185504ATB,lorazepam
117,196201ATB,mirtazapine
117,196201ATD,mirtazapine
117,196202ATB,mirtazapine
117,196202ATD,mirtazapine
117,196203ATB,mirtazapine
117,196204ATB,mirtazapine
117,196204ATD,mirtazapine
117,203401ATB,nortryptiline hydrochloride (as nortryptiline
117,203402ATB,nortryptiline hydrochloride (as nortryptiline
117,204001ATB,olanzapine
117,204001ATD,olanzapine
117,204002ATB,olanzapine
117,204002ATD,olanzapine
117,204004ATB,olanzapine
117,204005ATB,olanzapine
117,209301ATB,paroxetine hydrochloride (as paroxetine
117,209302ATB,paroxetine hydrochloride (as paroxetine
117,209304ATR,paroxetine hydrochloride (as paroxetine
117,209305ATR,paroxetine hydrochloride (as paroxetine
117,211401ATB,perphenazine
117,212402ATB,pimozide
117,224201ATB,risperidone
117,224201ATD,risperidone
117,224202ATB,risperidone
117,224202ATD,risperidone
117,224203ATB,risperidone
117,224204ATB,risperidone
117,227001ATB,sertraline hydrochloride (as sertraline
117,227002ATB,sertraline hydrochloride (as sertraline
117,227003ATB,sertraline hydrochloride (as sertraline
117,229601ATB,sodium tianeptine
117,233401ATB,sulpiride
117,242901ACH,trazodone hydrochloride
117,242901ATB,trazodone hydrochloride
117,242902ATB,trazodone hydrochloride
117,242903ATR,trazodone hydrochloride
117,247502ACR,venlafaxine hydrochloride (as venlafaxine
117,247504ACR,venlafaxine hydrochloride (as venlafaxine
117,250801ATB,zotepin
117,250802ATB,zotepin
117,250803ATB,zotepin
117,255800ATB,chlordiazepoxide
117,255800ATB,clidinium bromide
117,355801ACH,milnacipran hydrochloride
117,355802ACH,milnacipran hydrochloride
117,355803ACH,milnacipran hydrochloride
117,378601ATB,quetiapine fumarate (as quetiapine
117,378602ATB,quetiapine fumarate (as quetiapine
117,378603ATB,quetiapine fumarate (as quetiapine
117,378604ATB,quetiapine fumarate (as quetiapine
117,378605ATB,quetiapine fumarate (as quetiapine
117,378605ATR,quetiapine fumarate (as quetiapine
117,378606ATR,quetiapine fumarate (as quetiapine
117,378607ATR,quetiapine fumarate (as quetiapine
117,378608ATR,quetiapine fumarate (as quetiapine
117,378609ATR,quetiapine fumarate (as quetiapine
117,378610ATB,quetiapine fumarate (as quetiapine
117,420002ATB,amisulpride
117,420003ATB,amisulpride
117,420004ATB,amisulpride
117,428101ATB,bupropion hydrochloride
117,428102ATR,bupropion hydrochloride
117,428103ATR,bupropion hydrochloride
117,451501ATB,aripiprazole
117,451501ATD,aripiprazole
117,451502ATB,aripiprazole
117,451502ATD,aripiprazole
117,451503ATB,aripiprazole
117,451504ATB,aripiprazole
117,451505ATB,aripiprazole
117,451508ATB,aripiprazole
117,464901ACH,ziprasidone hydrochloride monohydrate (as ziprasidone
117,464902ACH,ziprasidone hydrochloride monohydrate (as ziprasidone
117,464903ACH,ziprasidone hydrochloride monohydrate (as ziprasidone
117,464904ACH,ziprasidone hydrochloride monohydrate (as ziprasidone
117,474801ATB,escitalopram oxalate (as escitalopram
117,474801ATD,escitalopram oxalate (as escitalopram
117,474802ATB,escitalopram oxalate (as escitalopram
117,474802ATD,escitalopram oxalate (as escitalopram
117,474803ATB,escitalopram oxalate (as escitalopram
117,474803ATD,escitalopram oxalate (as escitalopram
117,474804ATB,escitalopram oxalate (as escitalopram
117,495501ACE,duloxetine hydrochloride (as duloxetine
117,495501ATE,duloxetine hydrochloride (as duloxetine
117,495502ACE,duloxetine hydrochloride (as duloxetine
117,495502ATE,duloxetine hydrochloride (as duloxetine
117,503201ATR,paliperidone
117,503202ATR,paliperidone
117,503203ATR,paliperidone
117,511301ATB,blonanserin
117,511302ATB,blonanserin
117,511303ATB,blonanserin
117,613101ATB,agomelatine
117,626401ATR,desvenlafaxine succinate monohydrate (as desvenlafaxine
117,626402ATR,desvenlafaxine succinate monohydrate (as desvenlafaxine
117,687601ATR,desvenlafaxine benzoate (as desvenlafaxine
117,687602ATR,desvenlafaxine benzoate (as desvenlafaxine
117,687701ATR,desvenlafaxine
117,687702ATR,desvenlafaxine
117,628501ATB,vortioxetine hydrobromide (as vortioxetine
117,628502ATB,vortioxetine hydrobromide (as vortioxetine
117,628504ATB,vortioxetine hydrobromide (as vortioxetine
117,687703ATR,desvenlafaxine
119,100501ATE,acamprosate
119,104101ATB,afloqualone
119,106201ATB,amantadine sulfate
119,116001ATB,benztropine mesylate
119,116002ATB,benztropine mesylate
119,134801ATB,cladribine
119,136505ATR,clonidine hydrochloride
119,138103ASY,choline alfoscerate
119,138104ASY,choline alfoscerate
119,138101ACH,choline alfoscerate
119,138101ACS,choline alfoscerate
119,138101APD,choline alfoscerate
119,138101ATB,choline alfoscerate
119,148630ALQ,donepezil hydrochloride
119,148631ALQ,donepezil hydrochloride
119,148601APD,donepezil hydrochloride
119,148601ATB,donepezil hydrochloride
119,148601ATD,donepezil hydrochloride
119,148602APD,donepezil hydrochloride
119,148602ATB,donepezil hydrochloride
119,148602ATD,donepezil hydrochloride
119,148603ATB,donepezil hydrochloride
119,148604ATB,donepezil hydrochloride
119,164202ATR,gabapentin
119,164204ATR,gabapentin
119,172601ATB,St. John's Wort
119,190031ALQ,memantine hydrochloride (as memantine
119,190001ATB,memantine hydrochloride (as memantine
119,190003ATD,memantine hydrochloride
119,190004ATB,memantine hydrochloride
119,190004ATD,memantine hydrochloride
119,190005ATB,memantine hydrochloride (as memantine
119,190006ATD,memantine hydrochloride (as memantine
119,205303ATB,orphenadrine hydrochloride
119,218401ATB,procyclidine hydrochloride
119,224030ASS,riluzole
119,224001ATB,riluzole
119,224501ACH,rivastigmine tartrate (as rivastigmine
119,224503ACH,rivastigmine tartrate (as rivastigmine
119,224504ACH,rivastigmine tartrate (as rivastigmine
119,224505ACH,rivastigmine tartrate (as rivastigmine
119,224901ATB,ropinirole hydrochloride (as ropinirole
119,224902ATB,ropinirole hydrochloride (as ropinirole
119,224902ATR,ropinirole hydrochloride (as ropinirole
119,224903ATB,ropinirole hydrochloride (as ropinirole
119,224904ATB,ropinirole hydrochloride (as ropinirole
119,224905ATR,ropinirole hydrochloride (as ropinirole
119,224906ATR,ropinirole hydrochloride (as ropinirole
119,226401ATB,selegiline hydrochloride
119,244201ATB,trihexyphenidyl hydrochloride
119,256000ACR,benserazide hydrochloride (as benserazide
119,256000ACR,levodopa
119,256000ATB,benserazide hydrochloride (as benserazide
119,256000ATB,levodopa
119,256000ATD,benserazide hydrochloride (as benserazide
119,256000ATD,levodopa
119,256200ATB,benserazide hydrochloride (as benserazide
119,256200ATB,levodopa
119,256300ATB,carbidopa hydrate (as carbidopa
119,256300ATB,levodopa
119,256400ATB,carbidopa hydrate (as carbidopa
119,256400ATB,levodopa
119,256500ATR,carbidopa hydrate (as carbidopa
119,256500ATR,levodopa
119,385203ACR,galantamine hydrobromide (as galantamine
119,385203ATR,galantamine hydrobromide (as galantamine
119,385204ACR,galantamine hydrobromide (as galantamine
119,385204ATR,galantamine hydrobromide (as galantamine
119,385205ACR,galantamine hydrobromide (as galantamine
119,385205ATR,galantamine hydrobromide (as galantamine
119,402501ATB,pramipexole dihydrochloride
119,402502ATB,pramipexole dihydrochloride
119,402503ATB,pramipexole dihydrochloride
119,402504ATB,pramipexole dihydrochloride
119,402505ATR,pramipexole dihydrochloride
119,402506ATR,pramipexole dihydrochloride
119,402507ATR,pramipexole dihydrochloride
119,439201ATB,entacapone
119,439502ATB,modafinil
119,468300ATB,carbidopa monohydrate (as carbidopa
119,468300ATB,entacapone
119,468300ATB,levodopa
119,468400ATB,carbidopa monohydrate (as carbidopa
119,468400ATB,entacapone
119,468400ATB,levodopa
119,468900ATB,carbidopa monohydrate (as carbidopa
119,468900ATB,entacapone
119,468900ATB,levodopa
119,499900ATB,carbidopa monohydrate (as carbidopa
119,499900ATB,entacapone
119,499900ATB,levodopa
119,507200ATB,carbidopa monohydrate (as carbidopa
119,507200ATB,entacapone
119,507200ATB,levodopa
119,507300ATB,carbidopa monohydrate (as carbidopa
119,507300ATB,entacapone
119,507300ATB,levodopa
119,480401ACH,pregabalin
119,480401ATB,pregabalin
119,480401ATR,pregabalin
119,480402ACH,pregabalin
119,480402ATB,pregabalin
119,480402ATR,pregabalin
119,480403ACH,pregabalin
119,480403ATR,pregabalin
119,480404ACH,pregabalin
119,480405ACH,pregabalin
119,480405ATB,pregabalin
119,480406ACH,pregabalin
119,480406ATB,pregabalin
119,480407ATR,pregabalin
119,480408ATR,pregabalin
119,480409ATR,pregabalin
119,489601ACH,atomoxetine hydrochloride (as atomoxetine
119,489602ACH,atomoxetine hydrochloride (as atomoxetine
119,489603ACH,atomoxetine hydrochloride (as atomoxetine
119,489604ACH,atomoxetine hydrochloride (as atomoxetine
119,489605ACH,atomoxetine hydrochloride (as atomoxetine
119,489606ACH,atomoxetine hydrochloride (as atomoxetine
119,615201ACH,fingolimod hydrochloride (as fingolimod
119,624701ATB,Teriflunomide
119,625201ATB,rasagiline mesylate (as rasagiline
119,625202ATB,rasagiline mesylate (as rasagiline
119,648901ACH,dimethyl fumarate
119,648902ACH,dimethyl fumarate
119,662301ATB,armodafinil
119,662302ATB,armodafinil
119,689301ACH,opicapone
119,689801ATB,safinamide mesylate (as safinamide
119,701001ATB,pitolisant hydrochloride (as pitolisant
119,701002ATB,pitolisant hydrochloride (as pitolisant
119,722100ATB,benserazide hydrochloride (as benserazide
119,722100ATB,levodopa
119,724001ASY,risdiplam
122,113501ATB,baclofen
122,113502ATB,baclofen
122,113504ATB,baclofen
122,131701ATB,chlorphenesin carbamate
122,131702ATB,chlorphenesin carbamate
122,138701ATB,cyclobenzaprine hydrochloride
122,138702ACR,cyclobenzaprine hydrochloride
122,140401ACH,dantrolene sodium
122,152301ATB,eperisone hydrochloride
122,152302ATR,eperisone hydrochloride
122,192004ATB,methocarbamol
122,205203ATR,orphenadrine citrate
122,217601ATB,pridinol mesylate
122,240701ATB,tizanidine hydrochloride (as tizanidine
123,102502ATB,aclatonium napadisilate
123,116902ATB,bethanechol chloride
123,116904ATB,bethanechol chloride
123,203801ATB,octylonium bromide
123,203802ATB,octylonium bromide
123,207001ATB,oxybutynin chloride
123,221401ATB,pyridostigmine bromide
123,241201ATB,tofisopam
124,133501ATB,cimetropium bromide
124,158001ACH,fenoverine
124,172301ATB,hyoscine butylbromide
124,212130ALQ,phloroglucinol
124,212101ATL,phloroglucinol  hydrate
124,212103ATL,phloroglucinol
124,240301ACH,tiropramide hydrochloride
124,240301ATB,tiropramide hydrochloride
124,257900ATB,phloroglucinol
124,257900ATB,trimethylphloroglucinol
129,660901ACS,tafamidis meglumine (as tafamidis
131,246603ACS,bilberry fruit dried ext.
131,246603ATB,bilberry fruit dried ext.
132,212301ATB,pilocarpine hydrochloride
141,130501ATB,cetirizine dihydrochloride
141,131801ATB,chlorpheniramine maleate
141,135201ATB,clemastine fumarate (as clemastine
141,150630ALQ,ebastine
141,150601ATB,ebastine
141,151301ACR,emedastine fumarate
141,151302ACR,emedastine fumarate
141,185430ASY,loratadine
141,185401ACS,loratadine
141,185401ATB,loratadine
141,190532ASY,mequitazine
141,190502ATB,mequitazine
141,206201ATB,oxatomide
141,259900ACH,cetirizine dihydrochloride
141,259900ACH,pseudoephedrine hydrochloride
141,259900ATB,cetirizine dihydrochloride
141,259900ATB,pseudoephedrine hydrochloride
141,260100ACR,ebastine
141,260100ACR,pseudoephedrine hydrochloride
141,347901ATB,fexofenadine hydrochloride
141,347902ATB,fexofenadine hydrochloride
141,347903ATB,fexofenadine hydrochloride
141,347904ACS,fexofenadine hydrochloride
141,347904ATB,fexofenadine hydrochloride
141,355901ATB,mizolastine
141,395400ATB,fexofenadine hydrochloride
141,395400ATB,pseudoephedrine hydrochloride
141,453901ATB,bepotastine besilate
141,453902ATB,bepotastine besilate
141,453904ATR,bepotastine besilate (as bepotastine
141,463631ALQ,levocetirizine dihydrochloride
141,463633ALQ,levocetirizine dihydrochloride
141,463634ALQ,levocetirizine dihydrochloride
141,463635ALQ,levocetirizine dihydrochloride
141,463637ALQ,levocetirizine dihydrochloride
141,463601ATB,levocetirizine dihydrochloride
141,508801ATD,bepotastine calcium dihydrate (as bepotastine
141,521601ATB,bepotastine salicylate (as bepotastine
141,521602ATR,bepotastine salicylate (as bepotastine
141,524800ATB,levocetirizine dihydrochloride
141,524800ATB,pseudoephedrine hydrochloride
141,530800ASY,chlorpheniramine maleate
141,530800ASY,phenylephrine hydrochloride
141,531100ASY,pseudoephedrine hydrochloride
141,531100ASY,triprolidine hydrochloride
141,531500ASY,pseudoephedrine hydrochloride
141,531500ASY,triprolidine hydrochloride
141,531300ASY,pseudoephedrine hydrochloride
141,531300ASY,triprolidine hydrochloride
141,551501ATB,desloratadine
141,639501ATB,bepotastine nicotinate (as bepotastine
141,659601ATB,rupatadine fumarate (as rupatadine
142,112401ATB,azathioprine
142,112402ATB,azathioprine
142,112403ATB,azathioprine
142,139201ACS,cyclosporine
142,139204ACS,cyclosporine
142,186701ACH,standardized lyophilized mixed bacterial lysates
142,186702ACH,standardized lyophilized mixed bacterial lysates
142,194730ALQ,microemulsion cyclosporine
142,194701ACS,microemulsion cyclosporine
142,194702ACS,microemulsion cyclosporine
142,194703ACS,microemulsion cyclosporine
142,196601ATB,mizoribine
142,196602ATB,mizoribine
142,197830ASS,mycophenolate mofetil
142,197801ACH,mycophenolate mofetil
142,197802ATB,mycophenolate mofetil
142,234201ACH,tacrolimus hydrate (as tacrolimus
142,234201ATB,tacrolimus hydrate (as tacrolimus
142,234203ACH,tacrolimus hydrate (as tacrolimus
142,234203ATB,tacrolimus hydrate (as tacrolimus
142,234204ACH,tacrolimus hydrate (as tacrolimus
142,234204ATB,tacrolimus hydrate (as tacrolimus
142,234205ACR,tacrolimus hydrate (as tacrolimus
142,234206ACR,tacrolimus hydrate (as tacrolimus
142,234207ACR,tacrolimus hydrate (as tacrolimus
142,234208ATB,tacrolimus hydrate (as tacrolimus
142,235101ACH,standardized lyophilized bacterial lysates of E.coli
142,434601ATB,leflunomide
142,434602ATB,leflunomide
142,451401ATE,mycophenolate sodium (as mycophenolic acid
142,451402ATE,mycophenolate sodium (as mycophenolic acid
142,485501ATB,sirolimus
142,485502ATB,sirolimus
142,485503ATB,sirolimus
142,485601ATB,everolimus
142,485602ATB,everolimus
142,485603ATB,everolimus
142,485604ATB,everolimus
142,627201ATB,tofacitinib citrate (as tofacitinib
142,627202ATB,tofacitinib citrate (as tofacitinib
142,627204ATR,tofacitinib citrate (as tofacitinib
142,648901ATE,dimethyl fumarate
142,648903ATE,dimethyl fumarate
142,667901ATB,baricitinib
142,667902ATB,baricitinib
142,689901ATR,upadacitinib hemihydrate (as upadacitinib
142,689902ATR,upadacitinib hemihydrate (as upadacitinib
142,703701ATB,abrocitinib
142,703702ATB,abrocitinib
142,703703ATB,abrocitinib
142,720001ACH,ozanimod hydrochloride (as ozanimod
142,725201ATB,filgotinib maleate (as filgotinib
142,725202ATB,filgotinib maleate (as filgotinib
142,726600ACH,ozanimod hydrochloride (as ozanimod
142,726600ACH,ozanimod hydrochloride (as ozanimod
149,112501ATB,azelastine hydrochloride
149,152501ATB,epinastine hydrochloride
149,152502ATB,epinastine hydrochloride
149,209631ASY,pemirolast potassium
149,209602ATB,pemirolast potassium
149,216430ASY,pranlukast hydrate
149,216431ASY,pranlukast hydrate
149,216432ASY,pranlukast hydrate
149,216433ASY,pranlukast hydrate
149,216401ACH,pranlukast hydrate
149,216402ASS,pranlukast hydrate
149,216403ACH,pranlukast hydrate
149,216404ATB,pranlukast hydrate
149,216405ASS,pranlukast hydrate
149,216406ASS,pranlukast hydrate
149,216407ASS,pranlukast hydrate
149,216408ATB,pranlukast hydrate
149,251201ACS,γ-linolenic acid
149,251202ACS,γ-linolenic acid
149,374601ATB,montelukast sodium (as montelukast
149,374601ATD,montelukast sodium (as montelukast
149,374602ATB,montelukast sodium (as montelukast
149,374602ATD,montelukast sodium (as montelukast
149,374603AGN,montelukast sodium (as montelukast
149,374603ATB,montelukast sodium (as montelukast
149,374603ATD,montelukast sodium (as montelukast
149,391703ATB,olopatadine hydrochloride
149,487001ATB,petasites hybridus CO
149,659900ACH,montelukast sodium (as montelukast
149,659900ACH,levocetirizine dihydrochloride
149,659900ATB,levocetirizine dihydrochloride
149,659900ATB,montelukast sodium (as montelukast
149,670600ATB,levocetirizine dihydrochloride
149,670600ATB,montelukast sodium (as montelukast
211,107301ATB,aminophylline hydrate
211,107301ATR,aminophylline hydrate
211,107303ATR,aminophylline hydrate
211,117903ATB,bisoprolol fumarate
211,117904ATB,bisoprolol fumarate
211,144831AEL,digoxin
211,144801ATB,digoxin
211,245802ACH,ubidecarenone
212,107401ATB,amiodarone hydrochloride
212,110201ATB,arotinolol hydrochloride
212,110202ATB,arotinolol hydrochloride
212,124801ATB,carteolol hydrochloride
212,159302ATB,flecainide acetate
212,219501ATB,propafenone hydrochloride
212,219502ATB,propafenone hydrochloride
212,219503ACR,propafenone hydrochloride
212,219504ACR,propafenone hydrochloride
212,219505ACR,propafenone hydrochloride
212,219901ATB,propranolol hydrochloride
212,219904ATB,propranolol hydrochloride
212,230402ATB,sotalol hydrochloride
212,502101ACH,pilsicainide hydrochloride
212,502102ACH,pilsicainide hydrochloride
212,597401ATB,dronedarone
213,101501ATB,acetazolamide
213,106901ATB,amiloride hydrochloride
213,112901ATB,azosemide
213,163801ATB,furosemide
213,170801ATB,hydrochlorothiazide
213,174403ATB,indapamide
213,231101ATB,spironolactone
213,231102ATB,spironolactone
213,242001ATB,torasemide
213,242002ATB,torasemide
213,242003ATB,torasemide
213,249401ATB,xipamide
213,451302ATB,chlorthalidone
214,104201ATB,alacepril
214,104202ATB,alacepril
214,107601ATB,amlodipine besylate (as amlodipine
214,107602ATB,amlodipine besylate (as amlodipine
214,107603ATB,amlodipine besylate (as amlodipine
214,111402ATB,atenolol
214,111403ATB,atenolol
214,114001ACH,barnidipine hydrochloride
214,114002ACH,barnidipine hydrochloride
214,114003ACH,barnidipine hydrochloride
214,115101ATB,benidipine hydrochloride
214,115102ATB,benidipine hydrochloride
214,115103ATB,benidipine hydrochloride
214,115104ATB,benidipine hydrochloride
214,116801ATB,betaxolol hydrochloride
214,116803ATB,betaxolol hydrochloride
214,117001ATB,bevantolol hydrochloride
